	Unnamed: 0	STITCH	SMILES	salt_stripped
0	0	CID000157921	COC(=O)CCC(=O)CN.Cl	COC(=O)CCC(=O)CN
1	1	CID005362070	C1=CC(=CC=C1C(=O)NCCC(=O)O)NN=C2C=CC(=O)C(=C2)C(=O)O	O=C(O)CCNC(=O)c1ccc(NN=C2C=CC(=O)C(C(=O)O)=C2)cc1
2	2	CID000016078	CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C)O	CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21
3	3	CID006918584	C(CSCC1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])CSCCC(=O)[O-])O)O)C(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]	O=C([O-])CCSCC1OC2OC3C(CSCCC(=O)[O-])OC(OC4C(CSCCC(=O)[O-])OC(OC5C(CSCCC(=O)[O-])OC(OC6C(CSCCC(=O)[O-])OC(OC7C(CSCCC(=O)[O-])OC(OC8C(CSCCC(=O)[O-])OC(OC9C(CSCCC(=O)[O-])OC(OC1C(O)C2O)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O
4	4	CID000003105	CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C	CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
5	5	CID003034756	CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O	COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1
6	6	CID000006018	CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC	COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
7	7	CID000004497	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC	COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
8	8	CID000008549	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O	C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
9	9	CID002761171	CCC1=NC=CC(=C1)C(=S)N	CCc1cc(C(N)=S)ccn1
10	10	CID016136912	CC1C(C(CC(O1)OC2C3C(=O)NC(C4=C(C(=CC(=C4)O)O)C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)OC9C(C(C(C(O9)CO)O)O)OC1CC(C(C(O1)C)O)(C)NCC1=CC=C(C=C1)C1=CC=C(C=C1)Cl)OC1=C(C=C(C=C1)C(C(C(=O)NC(C(=O)N6)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)O)C(=O)O)(C)N)O	CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(OC3CC(C)(N)C(O)C(C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(NCc3ccc(-c4ccc(Cl)cc4)cc3)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O
11	11	CID000002972	CC1=C(C(=O)C=CN1C)O	Cc1c(O)c(=O)ccn1C
12	12	CID000004896	CC12CC(C3C(C1CCC2(C(=O)COP(=O)(O)O)O)CCC4=CC(=O)C=CC34C)O	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COP(=O)(O)O
13	13	CID000002754	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4	O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
14	14	CID000708857	CN1CCCN=C1C=CC2=CC=CS2	CN1CCCN=C1C=Cc1cccs1
15	15	CID027885548	CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)[O-])O)[O-])C(=O)N)[NH+](C)C)O	C[NH+](C)C1C(=O)C(C(N)=O)=C([O-])C2(O)C(=O)C3=C([O-])c4c(O)cccc4C(C)(O)C3CC12
16	16	CID000037542	C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N	NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1
17	17	CID000123600	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
